anxiety_level,self_esteem,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
11,17,3,2,2,3,3,3,3,2,2,2,1
2,29,4,5,4,2,4,1,3,2,1,1,0
6,3,4,3,1,5,2,0,1,2,3,1,2
2,27,3,5,4,2,4,1,3,1,2,1,0
9,17,2,2,3,2,3,2,2,3,2,2,1
18,3,2,2,2,5,1,4,1,4,5,4,2
9,21,2,2,2,3,3,2,2,2,3,2,1
18,14,2,1,2,3,2,4,1,4,4,5,2
8,29,3,4,5,2,5,1,3,2,2,1,0
9,19,2,2,2,3,3,3,3,3,3,2,1
14,22,2,2,3,2,3,3,3,3,3,3,1
16,15,2,1,2,3,2,5,1,5,4,4,2
18,1,1,1,2,3,1,4,1,4,4,4,2
10,25,2,2,2,2,2,3,2,3,2,2,1
6,30,3,4,4,1,4,1,3,2,2,1,0
12,15,2,2,2,2,2,2,3,3,3,3,1
2,30,3,5,4,2,4,1,3,2,2,1,0
1,30,3,5,4,1,4,1,3,2,2,1,0
13,22,3,3,3,2,2,3,3,2,3,2,1
15,15,2,2,2,0,4,3,1,3,5,3,1
15,12,1,1,2,3,1,4,1,5,4,5,2
11,15,3,2,2,2,3,2,2,2,2,3,1
5,30,3,4,5,1,5,1,3,1,2,1,0
15,4,2,2,1,4,1,5,1,4,5,4,2
10,15,3,2,2,3,3,2,3,2,2,3,1
2,30,3,4,4,1,4,1,3,1,2,1,0
11,20,3,3,3,3,2,3,3,3,2,2,1
9,15,2,3,3,3,2,3,2,2,3,3,1
4,25,4,5,5,1,4,1,3,2,1,1,0
17,9,4,3,1,2,1,0,1,1,0,0,2
13,15,2,3,3,3,3,2,3,2,2,2,1
6,29,4,4,5,1,4,1,3,1,1,1,0
5,26,4,4,5,2,5,1,3,2,1,1,0
15,0,2,2,1,3,2,4,1,5,5,4,2
17,15,1,2,1,4,2,4,1,4,4,4,2
21,5,1,1,1,5,2,5,1,5,5,4,2
4,25,1,0,1,5,0,4,0,0,4,4,1
7,25,3,5,0,0,0,4,1,4,3,4,0
4,29,3,5,4,1,4,1,3,1,1,1,0
20,6,2,1,2,4,2,5,1,4,5,4,2
9,22,2,3,2,3,2,2,2,2,3,3,1
6,28,4,4,5,1,4,1,3,2,1,1,0
11,4,5,1,3,2,2,4,0,2,4,3,2
20,13,1,2,1,4,2,4,1,4,5,5,2
10,20,3,2,2,2,3,2,2,3,2,3,1
3,29,4,4,5,1,5,1,3,1,2,1,0
11,16,3,3,3,2,3,2,3,3,3,3,1
18,7,2,2,2,3,1,5,1,4,5,4,2
6,11,1,1,5,5,1,3,1,4,1,1,1
10,21,3,3,2,3,2,2,2,2,2,3,1
14,23,2,0,1,3,1,0,0,1,0,5,2
11,20,3,2,3,2,3,2,3,2,2,2,1
6,17,3,2,5,0,3,5,0,0,0,4,2
16,4,2,1,2,5,1,4,1,5,5,4,2
17,12,2,1,2,3,2,4,1,5,4,4,2
6,28,3,5,4,2,5,1,3,2,1,1,0
13,21,3,3,2,3,2,2,3,2,3,2,1
2,23,2,0,3,1,2,5,1,5,2,3,0
21,13,2,2,1,3,1,5,1,4,5,4,2
16,9,1,2,1,4,2,5,1,4,4,5,2
16,9,1,2,2,5,2,4,1,5,5,5,2
10,24,2,3,3,2,2,2,2,2,2,3,1
21,7,0,1,2,0,3,5,1,5,0,0,0
20,5,2,1,2,3,2,4,1,5,4,5,2
15,7,2,2,1,3,2,4,1,4,4,5,2
19,10,2,2,2,3,1,4,1,5,5,5,2
17,13,2,1,2,3,1,5,1,4,4,4,2
7,13,1,0,0,0,2,5,1,4,1,1,2
12,15,3,3,2,3,2,2,3,2,2,2,1
16,11,1,1,1,5,4,3,1,2,2,3,0
1,26,3,4,4,1,4,1,3,2,2,1,0
13,24,2,2,2,3,3,3,2,2,2,3,1
8,29,4,4,5,1,4,1,3,2,2,1,0
19,6,1,1,1,3,1,4,1,4,4,4,2
11,19,3,2,3,3,3,3,3,2,2,3,1
9,24,2,2,3,2,2,2,2,3,3,3,1
5,26,3,5,4,2,4,1,3,1,1,1,0
13,6,2,3,4,3,4,4,0,2,4,3,0
19,24,5,0,3,2,3,3,1,1,0,4,1
10,23,3,2,3,2,3,2,3,3,3,3,1
11,24,2,3,2,2,2,2,2,2,2,2,1
19,3,2,2,2,4,2,4,1,4,4,5,2
1,30,4,4,5,1,5,1,3,1,2,1,0
13,24,3,3,2,3,2,2,2,2,2,3,1
4,8,2,2,1,1,4,2,1,0,4,5,2
12,19,3,2,2,2,3,2,2,3,2,2,1
9,17,2,3,2,2,3,3,2,3,3,2,1
9,22,2,3,2,2,2,2,2,3,2,2,1
3,26,4,5,4,1,4,1,3,2,1,1,0
4,30,4,5,4,1,5,1,3,2,1,1,0
3,30,3,5,5,1,4,1,3,1,2,1,0
13,20,2,2,2,2,3,2,2,2,3,3,1
15,9,2,1,2,3,2,4,1,5,5,4,2
16,13,1,1,1,5,1,5,1,5,5,5,2
21,2,2,1,2,4,2,5,1,5,5,5,2
13,25,2,3,2,3,3,3,3,3,3,3,1
11,21,2,2,2,3,3,2,3,2,2,3,1
6,26,4,4,4,2,4,1,3,1,1,1,0
9,22,3,3,3,2,2,2,2,3,2,2,1
12,22,3,1,2,2,4,0,0,0,3,0,1
12,16,3,3,3,3,2,2,3,3,2,2,1
14,21,3,3,2,3,3,3,3,2,2,3,1
6,26,4,4,4,1,4,1,3,1,2,1,0
7,27,3,4,4,2,4,1,3,2,1,1,0
6,30,4,5,4,2,5,1,3,2,2,1,0
21,7,2,1,2,5,1,5,1,4,4,5,2
16,10,2,2,2,5,1,5,1,5,4,5,2
7,27,3,4,4,1,4,1,3,2,1,1,0
16,6,1,2,2,3,1,5,1,5,4,4,2
13,18,3,2,3,3,3,2,3,3,3,2,1
5,25,4,3,4,3,2,2,1,0,1,0,0
13,20,2,2,3,2,2,3,3,3,3,3,1
5,30,3,5,4,2,5,1,3,1,2,1,0
11,20,4,4,1,2,3,2,0,0,2,3,1
7,28,3,5,5,2,4,1,3,2,1,1,0
1,30,3,5,4,1,4,1,3,2,1,1,0
11,20,2,3,3,2,3,3,3,3,2,2,1
5,20,0,1,3,0,2,3,0,2,0,3,1
8,26,4,4,4,2,5,1,3,1,1,1,0
12,19,2,2,3,2,3,3,3,2,2,3,1
8,30,4,4,5,2,5,1,3,2,2,1,0
14,24,3,2,3,2,3,3,3,3,3,3,1
9,17,2,2,3,2,2,3,3,2,3,3,1
12,18,3,2,2,3,3,3,2,2,2,3,1
10,25,3,3,3,3,3,3,3,3,3,2,1
16,11,2,2,1,5,2,5,1,4,5,5,2
1,29,4,4,5,1,5,1,3,1,1,1,0
8,28,3,5,5,2,5,1,3,2,2,1,0
9,25,2,3,3,2,2,2,2,2,3,2,1
7,30,3,4,5,2,4,1,3,1,1,1,0
19,2,2,1,1,5,2,4,1,5,4,4,2
21,4,1,2,1,4,2,4,1,4,4,4,2
7,29,3,4,5,2,5,1,3,1,2,1,0
7,21,3,0,4,3,2,2,0,1,2,5,0
16,15,1,2,1,4,2,4,1,4,5,4,2
15,8,1,1,2,4,1,5,1,4,5,5,2
14,11,0,0,5,1,3,5,0,2,2,1,1
13,16,3,3,2,3,2,3,3,2,2,2,1
19,13,1,1,1,4,1,4,1,4,4,4,2
5,27,4,4,4,2,5,1,3,2,2,1,0
18,7,2,1,2,5,1,4,1,4,5,5,2
20,9,1,2,1,4,1,4,1,5,4,4,2
13,1,3,1,4,4,2,2,1,3,0,2,2
1,27,3,0,2,2,1,3,1,5,5,5,2
1,8,0,4,2,1,0,2,0,1,4,3,2
7,30,4,5,5,1,5,1,3,2,2,1,0
15,8,2,2,1,3,2,5,1,5,5,5,2
16,9,2,1,2,3,2,5,1,4,5,4,2
9,30,5,0,1,4,3,2,1,1,5,3,0
1,29,4,5,5,2,5,1,3,2,2,1,0
0,26,4,5,5,2,4,1,3,2,2,1,0
21,18,1,0,3,1,2,3,0,0,4,3,0
16,5,2,1,1,5,1,5,1,4,4,5,2
12,22,0,5,4,3,1,0,0,3,5,3,1
4,9,3,0,4,4,2,5,1,0,4,5,0
11,24,3,2,3,2,2,2,3,3,2,3,1
9,17,3,3,2,3,2,2,2,3,3,2,1
10,21,3,0,3,5,3,4,1,0,0,4,1
2,28,4,5,4,2,5,1,3,1,2,1,0
13,23,2,3,2,3,2,2,2,3,3,3,1
2,23,2,1,0,4,2,1,0,1,1,5,0
18,7,1,2,1,4,2,5,1,5,4,5,2
4,26,3,4,4,2,5,1,3,2,1,1,0
1,21,3,5,0,4,2,3,1,0,2,1,1
2,28,4,5,5,1,4,1,3,2,1,1,0
10,23,3,3,2,3,2,3,2,2,3,3,1
20,0,2,1,2,4,2,5,1,4,4,5,2
10,21,2,3,2,3,3,3,3,3,2,3,1
7,30,4,5,5,1,4,1,3,2,1,1,0
10,17,2,3,2,3,3,2,3,2,2,3,1
12,16,0,4,5,0,0,5,1,2,3,3,0
14,22,5,2,2,0,3,3,0,4,4,2,1
0,28,3,5,4,2,5,1,3,1,1,1,0
7,26,4,5,5,2,4,1,3,2,1,1,0
18,7,2,2,2,3,2,4,1,4,5,4,2
8,28,4,5,4,2,4,1,3,1,2,1,0
3,26,4,4,4,2,4,1,3,1,2,1,0
14,18,3,2,2,3,3,2,2,2,3,3,1
2,2,5,1,2,0,2,2,1,4,0,2,0
6,28,4,5,4,2,4,1,3,2,2,1,0
19,11,1,2,2,5,1,4,1,5,5,5,2
20,6,1,2,1,4,2,5,1,5,5,4,2
1,16,3,0,4,2,2,4,1,2,0,0,1
10,20,3,3,3,2,2,2,2,3,3,3,1
3,30,4,4,4,2,5,1,3,2,2,1,0
3,28,4,5,5,1,4,1,3,1,1,1,0
21,15,1,1,2,5,1,5,1,5,5,5,2
12,19,2,2,2,2,3,2,2,2,2,2,1
11,16,2,3,2,3,2,2,2,2,2,3,1
3,29,4,4,4,1,4,1,3,2,2,1,0
2,25,4,4,4,2,5,1,3,2,2,1,0
2,28,4,4,5,2,4,1,3,2,2,1,0
12,17,2,2,3,3,2,3,2,2,2,2,1
2,26,3,4,4,2,4,1,3,2,1,1,0
12,15,2,3,2,2,2,2,3,3,3,2,1
3,0,3,2,5,5,4,2,1,2,2,1,0
8,30,4,4,5,1,5,1,3,2,1,1,0
17,7,5,3,5,5,1,4,0,5,4,0,1
21,3,2,1,2,5,1,4,1,5,4,5,2
10,19,2,3,3,2,3,3,3,3,3,2,1
18,2,1,2,2,4,2,5,1,4,4,4,2
21,4,2,2,2,5,1,5,1,5,4,4,2
21,15,1,2,1,3,2,4,1,5,5,4,2
21,8,1,1,2,5,1,5,1,4,5,4,2
15,8,2,2,1,3,1,4,1,5,4,4,2
21,0,2,1,1,4,1,4,1,5,5,4,2
15,7,2,2,1,5,1,5,1,4,5,5,2
18,15,1,1,2,4,2,5,1,5,5,4,2
14,23,2,2,2,2,2,2,3,2,2,2,1
11,16,3,2,3,3,3,3,3,2,2,3,1
11,15,3,2,2,2,2,2,3,3,3,3,1
19,1,2,1,2,5,1,5,1,5,4,5,2
19,14,1,2,2,4,1,4,1,5,4,5,2
19,14,2,1,1,5,2,4,1,5,4,5,2
7,26,3,4,4,1,4,1,3,1,1,1,0
10,17,3,3,3,2,2,3,3,3,2,2,1
6,29,3,5,5,2,4,1,3,1,1,1,0
6,29,4,4,4,1,4,1,3,2,2,1,0
17,29,0,3,5,0,2,5,0,0,0,3,0
12,19,2,3,2,2,2,2,3,3,2,2,1
9,15,3,2,2,2,3,2,2,3,3,3,1
8,28,3,4,5,1,4,1,3,1,1,1,0
13,15,2,2,2,2,3,3,2,2,2,2,1
2,25,3,5,5,1,5,1,3,2,2,1,0
17,29,1,2,5,1,3,0,0,3,1,4,0
8,29,4,4,5,2,5,1,3,2,1,1,0
5,30,4,5,5,2,5,1,3,1,1,1,0
2,30,3,4,4,1,5,1,3,2,2,1,0
2,27,3,5,4,1,5,1,3,2,2,1,0
21,4,2,2,1,4,1,5,1,4,4,5,2
2,9,2,3,4,5,0,4,1,4,3,0,2
13,19,3,2,3,3,3,2,3,2,3,3,1
20,3,1,1,2,4,1,4,1,4,5,4,2
17,0,1,1,2,4,1,5,1,5,4,5,2
14,20,2,3,3,3,2,3,3,3,2,3,1
4,28,3,5,5,2,4,1,3,2,2,1,0
17,13,2,1,2,5,2,5,1,5,4,4,2
2,23,3,3,2,2,3,2,0,1,4,4,1
9,20,2,3,3,3,2,2,2,2,2,3,1
5,25,3,5,4,1,5,1,3,2,1,1,0
18,1,1,2,1,3,1,5,1,5,4,5,2
10,18,3,3,2,2,2,3,3,2,3,3,1
21,27,5,2,0,0,3,1,0,4,4,0,0
19,7,2,2,1,4,1,4,1,5,5,4,2
14,21,2,3,2,2,2,3,3,3,3,3,1
10,23,2,2,3,2,3,2,3,2,3,2,1
16,11,2,2,1,5,1,5,1,5,5,4,2
0,25,4,5,5,1,5,1,3,1,2,1,0
14,23,3,2,2,2,2,2,3,3,3,2,1
21,0,1,1,1,3,1,4,1,5,4,4,2
12,16,3,2,2,2,2,2,3,3,2,3,1
6,26,5,4,5,3,3,3,1,3,5,5,2
18,1,2,1,1,5,1,5,1,4,4,4,2
5,25,3,4,4,1,4,1,3,1,1,1,0
10,11,2,2,0,1,4,1,1,1,5,1,2
0,26,4,4,4,1,5,1,3,1,1,1,0
19,8,2,2,2,5,2,5,1,4,5,5,2
15,8,1,1,2,4,2,4,1,5,4,5,2
21,11,1,1,1,3,2,5,1,5,5,4,2
19,1,1,1,1,4,1,5,1,4,5,4,2
7,30,4,4,4,2,5,1,3,2,2,1,0
16,9,1,2,1,4,1,4,1,5,4,5,2
12,7,3,3,3,4,4,1,0,3,1,0,1
16,7,0,0,4,1,1,1,1,2,4,0,0
17,11,1,1,2,4,1,4,1,5,5,5,2
3,25,3,5,4,2,4,1,3,2,2,1,0
12,3,1,5,5,2,2,1,1,0,5,3,0
14,18,3,3,2,3,2,2,3,3,2,3,1
13,20,2,3,2,3,2,2,2,3,2,3,1
2,11,4,3,4,0,3,4,1,1,1,4,2
13,19,3,2,2,2,3,2,3,3,2,3,1
11,15,3,2,3,3,3,2,3,3,2,2,1
10,25,2,2,3,2,2,3,3,3,2,3,1
20,11,2,2,2,3,1,5,1,5,4,5,2
3,0,3,3,1,1,2,1,1,0,4,4,2
15,0,2,2,2,4,1,5,1,5,5,4,2
0,30,3,5,5,1,5,1,3,2,2,1,0
4,26,4,4,5,2,4,1,3,1,1,1,0
1,28,3,5,2,4,4,0,1,2,5,2,2
1,27,3,5,5,2,4,1,3,2,2,1,0
18,7,3,4,1,0,2,3,0,1,2,5,1
16,1,1,1,1,5,1,4,1,4,5,5,2
11,21,2,3,2,3,2,2,2,2,2,3,1
7,26,3,5,5,2,5,1,3,2,2,1,0
18,14,2,1,2,3,2,4,1,4,5,5,2
9,20,2,2,3,2,2,3,3,2,2,3,1
1,28,3,5,4,1,5,1,3,1,1,1,0
16,11,1,1,2,4,2,5,1,5,4,4,2
8,4,4,2,5,1,3,0,0,1,0,1,2
9,22,2,3,3,3,2,2,2,3,3,2,1
8,29,3,4,4,2,5,1,3,1,2,1,0
3,27,3,4,4,1,4,1,3,1,2,1,0
3,29,3,5,5,2,5,1,3,2,1,1,0
12,16,2,2,2,2,3,3,3,3,2,3,1
3,28,3,5,4,1,4,1,3,1,2,1,0
21,3,0,5,5,4,2,3,0,2,2,0,1
4,21,2,0,4,1,1,0,0,1,4,5,1
7,26,3,5,5,1,4,1,3,1,2,1,0
7,25,3,5,5,2,5,1,3,2,2,1,0
3,4,3,5,3,1,2,4,0,2,1,2,1
3,28,4,5,4,1,5,1,3,1,2,1,0
15,13,1,1,2,3,1,4,1,5,4,4,2
11,15,2,3,3,2,3,3,2,3,2,2,1
21,11,2,1,2,3,2,4,1,5,5,5,2
16,15,2,2,1,3,2,4,1,4,4,4,2
18,9,2,2,2,5,2,4,1,5,4,4,2
21,13,1,2,1,5,1,4,1,4,5,4,2
20,28,0,3,5,3,0,2,1,3,4,5,0
15,14,2,2,2,5,2,5,1,5,5,5,2
7,30,4,4,4,1,4,1,3,2,2,1,0
18,4,2,4,0,2,0,2,0,0,3,5,1
17,9,2,1,1,5,2,4,1,5,5,4,2
1,19,2,4,4,3,1,0,1,0,3,3,0
12,10,4,4,2,1,2,5,1,2,4,4,0
3,29,3,5,5,1,5,1,3,1,1,1,0
5,2,2,2,1,2,1,5,1,1,1,0,1
14,17,3,3,2,2,2,3,3,3,2,3,1
13,2,1,5,1,2,4,4,0,0,5,0,1
18,0,2,2,2,4,1,5,1,4,5,4,2
15,12,2,1,1,5,2,4,1,4,5,4,2
11,23,2,2,3,2,3,3,2,2,2,2,1
14,18,3,3,3,2,2,3,3,2,3,2,1
15,13,1,1,1,5,2,5,1,5,5,5,2
3,26,3,5,5,2,4,1,3,1,1,1,0
18,6,2,1,1,3,2,4,1,5,4,5,2
19,9,1,1,2,4,1,5,1,4,4,4,2
17,23,1,0,4,0,0,0,0,5,2,5,2
18,7,1,1,1,3,1,4,1,5,4,5,2
16,11,2,1,2,5,1,4,1,5,5,5,2
12,23,3,2,2,2,2,3,3,2,3,2,1
8,29,3,5,5,2,4,1,3,1,1,1,0
3,25,4,4,5,2,4,1,3,1,1,1,0
6,19,2,2,4,3,2,5,0,1,3,5,1
2,18,5,5,5,0,2,5,0,2,1,2,0
20,9,1,4,0,4,1,4,0,1,4,3,1
17,12,2,1,2,3,1,5,1,4,4,4,2
13,16,2,2,3,3,3,3,2,3,2,3,1
1,29,3,5,4,2,4,1,3,2,1,1,0
21,4,2,1,1,5,1,5,1,4,5,4,2
11,16,1,1,1,4,4,4,1,2,4,0,1
16,7,4,4,4,4,3,0,0,0,3,2,1
15,6,2,2,1,4,2,4,1,5,4,5,2
20,8,2,1,1,4,1,5,1,4,5,5,2
18,10,2,1,1,5,2,5,1,5,5,4,2
2,26,3,5,4,2,4,1,3,1,2,1,0
16,1,2,1,4,3,1,5,1,3,2,2,0
6,18,5,3,4,5,0,0,0,4,2,0,1
14,17,3,2,2,2,2,2,3,2,3,2,1
15,11,1,1,2,5,1,5,1,4,4,4,2
19,5,1,2,1,3,1,4,1,5,5,5,2
13,17,2,3,3,3,2,2,3,3,3,2,1
13,14,0,3,1,5,3,3,0,1,3,3,1
4,2,1,2,3,3,0,2,1,3,3,0,0
13,19,2,2,3,2,2,3,2,3,3,3,1
13,14,1,3,0,1,0,0,0,4,5,0,0
0,27,4,4,5,1,4,1,3,1,2,1,0
14,19,2,3,2,2,2,2,2,2,3,3,1
15,13,1,1,1,4,2,4,1,5,5,4,2
3,27,3,4,5,1,4,1,3,1,2,1,0
19,11,2,2,2,3,1,5,1,4,5,5,2
6,29,3,5,4,2,5,1,3,2,1,1,0
5,2,1,0,1,5,1,4,0,5,1,5,1
16,12,2,2,2,4,2,4,1,4,5,4,2
2,27,3,4,4,1,5,1,3,1,1,1,0
13,18,2,2,3,3,2,3,2,2,3,2,1
9,17,2,2,2,3,3,2,2,2,3,2,1
18,6,2,1,1,3,2,4,1,5,4,4,2
11,6,1,1,5,1,4,3,0,2,4,0,2
1,25,4,4,4,1,4,1,3,1,2,1,0
18,16,0,5,3,2,1,4,0,2,3,0,2
5,26,3,5,4,2,5,1,3,2,2,1,0
20,15,2,2,1,3,2,4,1,4,5,4,2
13,22,2,2,2,2,2,2,2,2,3,3,1
12,23,3,3,2,2,2,3,3,2,3,2,1
8,30,5,4,2,4,0,0,0,5,3,1,0
0,28,4,5,5,1,5,1,3,1,2,1,0
20,6,2,1,2,4,2,5,1,5,5,5,2
10,16,3,2,3,3,3,3,3,2,3,3,1
19,23,5,3,2,3,1,5,0,1,0,4,1
12,17,0,4,3,5,0,3,0,0,0,5,0
13,23,2,2,2,2,3,3,2,3,2,2,1
15,12,1,2,1,4,2,4,1,5,4,4,2
10,18,2,2,3,3,2,3,3,3,3,2,1
13,15,3,2,2,2,2,3,2,2,2,3,1
7,29,3,4,5,1,5,1,3,2,1,1,0
16,15,1,1,1,4,1,5,1,5,5,5,2
11,18,3,3,3,3,3,2,2,2,3,3,1
4,28,3,5,5,1,4,1,3,2,1,1,0
6,28,3,4,5,1,4,1,3,1,1,1,0
11,22,3,3,3,3,3,3,3,2,3,3,1
